"Order","Start_BB","GrN-5131","PSUAMS-7847","GrA-28356","GrA-13617","R-combine","GrA-14067","GrA-14066","GrA-14840","GrA-13602","GrA-11264","SUERC-26372","GrN-6340","GrN-6711","GrN-6856","GrN-6146","GrA-41636","GrA-39655","End_BB","Start_CW","UtC-1945","UtC-1949","SUERC-26360","GrA-56014","GrN-56013","GrA-12299","GrA-14965","GrN-851","GrN-1855","GrN-11918","GrN-7518","GrN-6129","GrN-6368","GrN-6349","GrA-41646","GrN-6126","GrN-8247","GrN-6724","End_CW","Start_LFG","Poz-68248","Poz-68249","GrA-13599","GrA-13600","R-combine","GrA-13705","GrA-13706","GrA-13958","GrA-14086","GrA-14088","GrA-14089","GrA-14090","GrA-14095","GrA-14168","GrA-14973","GrA-15459","GrA-15642","Poz-88040","GrN-16040","GrA-16021","GrM-26730","GrN-6156","GrN-4201","GrN-5767","GrA-41638","GrA-41639","KlA-23204","KlA-23207","End_FBW","Start_FBW","Poz-71757","Beta-421914","GrA-39456","GrN-16492","GrN-12262","GrN-12263","GrN-16494","GrN-11763","GrN-11764","GrN-11765","GrN-11766","GrN-18785","GrN-9209","GrN-5103","GrN-1824C","GrN-2221","End_EFG","Start_VL","GrM-16481","GrN-4948","GrM-18678","GrA-16185","GrN-684","GrA-57574","GrM-17955","GrA-57565","GrN-11845","GrN-11846","GrN-11847","GrN-11848","GrN-11850","GrN-14171","GrN-14237","GrN-2221","GrN-2303","GrN-2480","GrN-254","GrN-25915","GrN-4906","GrN-4907","GrN-4908","GrN-5028","GrN-5301","GrN-8232","GrN-8233","GrN-8234","GrN-9132","GrN-9133","GrN-9134","GrN-9135","GrN-9136","GrN-9137","GrA-118","UtC-1933","GrA-57514","GrA-57514","GrA-57512","GrA-57739","GrM-17961","Poz-41736","Poz-41751","Poz-41760","SUERC-26368","GrA-57522","GrA-57566","GrA-57553","GrA-57554","GrA-57563","GrA-57526","GrA-46023","GrN-21343","SUERC-26369","SUERC-26370","SUERC-26371","GrA-57561","GrA-57555","GrA-57557","SUERC-26356","GrN-9190","GrN-11851","GrN-8235","GrN-2304","GrN-2487","End_VL","Start_SW","GrA-35308","GrA-34814","GrM-22781","GrM-23702","GrM-22775","GrM-25038","GrM-25045","GrM-25036","GrM-23704","GrM-25035","GrM-25033","GrM-26626","GrM-23741","GrM-22851","GrM-22778","GrM-25040","GrM-25043","GrM-22776","GrM-22770","GrM-22772","GrM-22774","GrM-22769","GrM-26625","GrM-25044","GrM-26624","GrM-25037","GrA-64342","GrA-62951","KIA-26465","GrN-14122","GrN-6215","GrN-8240","GrN-8241","GrN-26215","GrN-26214","GrN-26216","GrN-26217","GrN-26218","GrN-26219","GrA-38187","GrA-38188","GrA-38189","GrA-9802","OxA-15608","OxA-15612","OxA-15610","OxA-15609","OxA-15611","GrM-27308","GrM-27306","GrM-27300","GrM-27298","GrM-27307","GrM-27310","GrM-27304","GrM-27305","GrM-29664","GrM-29665","GrM-29661","GrM-29659","GrM-29667","GrM-28799","GrM-28292","GrM-28293","GrM-28833","GrM-28294","GrM-28800","GrM-28801","GrM-28802","GrM-28295","GrM-28831","GrM-28832","GrA-9799","GrN-30447","GrA-33953","GrA-33954","GrA-13278","GrA-13296","GrA-10950","KIA-17997","GrA-13275","KIA-17987","GrA-15034","GrA-13272","GrA-9798","GrA-21376","GrA-9803","GrN-8817","GrN-8812","UtC-5710","UtC-5711","UtC-5712","UtC-5713","UtC-5714","GrN-8816","GrN-8815","GrN-8814","GrN-19331","GrN-7764","GrN-9897","End_SW",
"Start_BB",0,0.9987,0.9993,0.9968,0.8671,0.7813,0.9667,0.9547,0.9394,0.9061,0.949,0.9548,0.9968,0.9986,0.9528,0.999,0.8582,0.9555,1,0.000066,0.015973,0.1784,0.005477,0.001882,0.009047,0.15044,0.008435,0.005862,0.001429,0.002275,0.002585,0.003285,0.17274,0.13836,0.010808,0.06804,0.03458,0.001956,0.3683,0,0,0.000001,0.000005,0.000004,0.000005,0.000002,0.000003,0.000003,0.000004,0,0.000004,0.000007,0.000002,0.000005,0,0.000001,0,0.000003,0,0.000001,0,0,0,0,0,0,0,0,0.000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000351,0,0.000058,0.000509,0.000038,0.000405,0.006645,0.004728,0.00312,0.0415,0.003289,0.024299,0.009039,0.001355,0.002274,0.03778,0.002191,0.04601,0.000192,0.002553,0.005643,0.031355,0.007417,0.011703,0.06471,0.29046,0.01565,0.07426,0.03758,0.000004,0.03384,0.03545,0.000002,0.000029,0.000009,0.000004,0.000793,0.000118,0.000061,0.00005,0.000011,0.000041,0.000539,0.00396,0.000072,0.23381,0.000444,0.000214,0.000002,0.000808,0.000716,0.007301,0.00404,0.000586,0.000119,0.000975,0.000365,0.00017,0.000189,0.000466,0.26433,0.000946,0.000111,0.000924,0.000373,0.000255,0.000389,0.21662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GrN-5131",0.001256,0,0.4576,0.18864,0.023413,0.012471,0.05257,0.04402,0.04046,0.03256,0.0559,0.04398,0.21446,0.3193,0.07041,0.3665,0.01279,0.025623,0.7246,0,0.000034,0.000602,0.000007,0.000007,0.000014,0.000554,0.000005,0.000008,0.000001,0.000005,0.000002,0.000003,0.000502,0.000421,0.000011,0.00015,0.000109,0.000004,0.004237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000036,0,0,0.000001,0,0.000003,0.00001,0.000015,0,0.000067,0.000001,0.000021,0.000008,0.000001,0.000012,0.000075,0.000001,0.000098,0,0,0.00001,0.000031,0.000013,0.000017,0.000129,0.001374,0.000021,0.000157,0.000051,0,0.000044,0.00005,0,0,0,0,0,0,0,0,0,0,0.000008,0.000002,0,0.000668,0,0.000001,0,0,0.000001,0.000006,0.000002,0,0,0,0,0,0,0.000001,0.000915,0,0.000005,0.000001,0.000001,0.000011,0.000003,0.000522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PSUAMS-7847",0.000671,0.5424,0,0.21073,0.021237,0.010738,0.05223,0.04275,0.03889,0.030987,0.05703,0.04267,0.23832,0.3535,0.07408,0.4037,0.009391,0.021417,0.7607,0,0.000015,0.000332,0.000004,0.000005,0.000001,0.000306,0.000003,0.000002,0,0,0,0,0.000243,0.000197,0.000002,0.000053,0.000076,0.000001,0.003501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000036,0,0,0,0,0.000001,0.000005,0,0,0.000016,0,0.000004,0.000002,0,0,0.000022,0.000001,0.00004,0,0,0.000001,0.00001,0,0.000002,0.000063,0.000897,0.000002,0.000054,0.000009,0,0.000009,0.000016,0,0,0,0,0,0,0,0,0,0,0,0.000003,0,0.000314,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0.000485,0,0,0,0,0,0,0.000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GrA-28356",0.003235,0.8114,0.7893,0,0.08743,0.03557,0.21625,0.18442,0.16383,0.12588,0.20667,0.18466,0.528,0.6493,0.23732,0.6941,0.06868,0.14735,0.9322,0,0.000059,0.001519,0.000013,0.000018,0.000012,0.001527,0.000007,0.000011,0.000001,0.000003,0.000002,0.000006,0.001019,0.000762,0.000024,0.000277,0.000295,0.000003,0.012644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000058,0,0,0,0,0,0.000017,0.000021,0.000004,0.000114,0.000005,0.000036,0.000029,0.000002,0.000002,0.000143,0.000003,0.000216,0,0.000003,0.000022,0.000085,0.000025,0.000026,0.000308,0.005175,0.000023,0.000252,0.000059,0,0.000068,0.000093,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0.001644,0.000002,0,0,0,0,0.000002,0.000004,0.000002,0,0,0,0,0,0.000001,0.003209,0,0,0.000001,0.000003,0.000001,0,0.00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GrA-13617",0.13291,0.9766,0.9788,0.9126,0,0.3599,0.7405,0.6993,0.6581,0.5796,0.6959,0.6994,0.9178,0.9512,0.713,0.961,0.4754,0.6842,0.9969,0,0.003963,0.06251,0.00058,0.00031,0.000983,0.05345,0.000976,0.001157,0.00026,0.000403,0.000484,0.000616,0.05941,0.04655,0.002118,0.018692,0.01079,0.000376,0.17195,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196,0,0.000005,0.000065,0.000003,0.000114,0.001433,0.001087,0.000633,0.00947,0.000717,0.005041,0.001911,0.00031,0.000477,0.010017,0.00047,0.013108,0.000044,0.000574,0.001428,0.006898,0.00163,0.002732,0.019436,0.11837,0.003165,0.020905,0.007875,0,0.007147,0.007742,0,0.000002,0,0,0.000176,0.000036,0.000011,0.000012,0.000001,0.000004,0.000082,0.00035,0.000012,0.08294,0.000064,0.000042,0,0.000089,0.000077,0.000598,0.000352,0.000149,0.000031,0.000085,0.000049,0.000022,0.000021,0.000072,0.10409,0.000079,0.000022,0.000135,0.000131,0.000082,0.000072,0.07385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"R-combine",0.21875,0.9875,0.9893,0.9644,0.6401,0,0.8548,0.8223,0.7851,0.7132,0.8125,0.8219,0.9644,0.9789,0.8225,0.9829,0.6205,0.8185,0.9988,0,0.005741,0.09051,0.000744,0.000443,0.001285,0.07719,0.001333,0.001652,0.000389,0.000672,0.000701,0.00092,0.08682,0.06783,0.003192,0.027495,0.015518,0.000581,0.23476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237,0,0.000008,0.000101,0.000009,0.000175,0.002133,0.001582,0.000914,0.013962,0.001053,0.007479,0.002764,0.000462,0.000748,0.014612,0.000656,0.019013,0.000069,0.000837,0.002067,0.010054,0.002346,0.003978,0.02824,0.16649,0.004765,0.03066,0.011591,0,0.010542,0.011402,0,0.000005,0,0.000001,0.000267,0.000062,0.000022,0.00001,0.000001,0.00001,0.000109,0.000467,0.000015,0.12109,0.000104,0.000074,0,0.00013,0.000114,0.000764,0.00045,0.000218,0.000034,0.000119,0.000072,0.000025,0.000035,0.000094,0.14857,0.000102,0.000027,0.000192,0.000174,0.000093,0.000097,0.10783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GrA-14067",0.03332,0.9474,0.9478,0.7837,0.2595,0.14521,0,0.4514,0.4097,0.3342,0.4625,0.451,0.8,0.8781,0.492,0.9018,0.23082,0.4124,0.9902,0,0.000913,0.017334,0.000092,0.00008,0.000142,0.015451,0.000115,0.000249,0.000053,0.000105,0.000094,0.000133,0.015834,0.012269,0.000434,0.004479,0.003006,0.000076,0.06428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112,0,0,0.000019,0.000001,0.000022,0.000308,0.000282,0.000107,0.002017,0.00017,0.000995,0.00043,0.000074,0.000108,0.002381,0.000085,0.003339,0.000009,0.000114,0.000346,0.0015,0.000354,0.000606,0.004991,0.03865,0.000671,0.004967,0.001541,0,0.001458,0.001606,0,0,0,0,0.00004,0.000011,0.000002,0.000004,0,0.000001,0.000018,0.000028,0.000001,0.022417,0.000011,0.000007,0,0.000015,0.000016,0.00004,0.000024,0.000039,0.000006,0.000009,0.00001,0.000004,0.000003,0.000012,0.03167,0.000009,0.000004,0.00002,0.000029,0.000024,0.000018,0.019415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GrA-14066",0.04531,0.956,0.9573,0.8156,0.30069,0.17774,0.5486,0,0.457,0.3781,0.5085,0.4996,0.8295,0.8975,0.5359,0.9183,0.27156,0.4653,0.9927,0,0.001297,0.023154,0.000103,0.000112,0.000175,0.020538,0.00015,0.000313,0.000063,0.000134,0.000123,0.000179,0.021367,0.016581,0.000598,0.006174,0.003972,0.000107,0.08017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125,0,0,0.000017,0.000002,0.000032,0.000442,0.000339,0.000179,0.00275,0.000211,0.001417,0.000539,0.000095,0.000146,0.003223,0.000132,0.004436,0.000011,0.00016,0.000469,0.002031,0.000479,0.000784,0.006627,0.04969,0.000919,0.006847,0.002167,0,0.001969,0.00222,0,0,0,0,0.000049,0.000007,0.000004,0.000001,0,0,0.000022,0.000039,0.000003,0.030108,0.000022,0.000015,0,0.000018,0.000016,0.00005,0.000036,0.00006,0.000008,0.000014,0.000017,0.000005,0.000005,0.000022,0.04131,0.000014,0.000005,0.000026,0.000035,0.000026,0.000018,0.026138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GrA-14840",0.06058,0.9595,0.9611,0.8362,0.3419,0.21495,0.5903,0.543,0,0.4207,0.5484,0.5429,0.8479,0.9081,0.5736,0.9263,0.31449,0.5129,0.9934,0,0.00172,0.030689,0.00015,0.000148,0.000243,0.026755,0.000218,0.000435,0.000094,0.000162,0.000183,0.00023,0.028655,0.02228,0.000814,0.0082,0.005227,0.000136,0.09868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143,0,0,0.000023,0.000002,0.000041,0.000609,0.000459,0.000239,0.003816,0.000321,0.001956,0.00078,0.000138,0.000201,0.004477,0.000179,0.00604,0.000019,0.000228,0.000625,0.00278,0.000684,0.001129,0.008929,0.06347,0.00125,0.009254,0.002933,0,0.002766,0.003029,0,0,0,0,0.00008,0.000016,0.000005,0.000003,0,0.000001,0.000029,0.000043,0.000005,0.04025,0.000031,0.000021,0,0.000016,0.000026,0.000076,0.000063,0.000068,0.000008,0.000017,0.00002,0.000007,0.000006,0.000026,0.05379,0.000018,0.000007,0.000045,0.000051,0.000033,0.000031,0.03528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GrA-13602",0.09393,0.9674,0.969,0.8741,0.4204,0.28684,0.6658,0.6219,0.5793,0,0.6226,0.6216,0.8822,0.9289,0.6438,0.9428,0.3946,0.5996,0.9949,0,0.002719,0.04616,0.000275,0.00021,0.000498,0.03978,0.000449,0.000756,0.000176,0.000295,0.00029,0.000423,0.04384,0.03407,0.00141,0.01303,0.007824,0.000237,0.13546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165,0,0.000001,0.000045,0.000003,0.000076,0.000956,0.000743,0.000406,0.006294,0.000469,0.003266,0.001234,0.000222,0.000327,0.006929,0.000315,0.009375,0.000022,0.000373,0.001006,0.004519,0.001044,0.001799,0.013918,0.09057,0.002113,0.014711,0.004996,0,0.004564,0.004978,0,0.000001,0,0,0.000133,0.000026,0.000009,0.000004,0.000001,0.000001,0.000059,0.000129,0.000006,0.06105,0.000037,0.000032,0,0.00004,0.000047,0.000232,0.000135,0.000119,0.00002,0.000035,0.000033,0.000017,0.000016,0.000041,0.07818,0.00004,0.000012,0.000071,0.000087,0.000062,0.000039,0.05399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
