"Element","Prior","Posterior","Model","Type"
"GrN-5131",5,6,"General","t",
"PSUAMS-7847",5,5,"General","t",
"GrA-28356",100,100,"Cremation","t",
"GrA-13617",100,100,"Cremation","t",
"R-combine",100,100,"Cremation","t",
"GrA-14067",100,100,"Cremation","t",
"GrA-14066",100,100,"Cremation","t",
"GrA-14840",100,100,"Cremation","t",
"GrA-13602",100,100,"Cremation","t",
"GrA-11264",100,100,"Cremation","t",
"SUERC-26372",100,100,"Cremation","t",
"GrN-6340",100,100,"Charcoal","t",
"GrN-6711",100,100,"Charcoal","t",
"GrN-6856",100,100,"Charcoal","t",
"GrN-6146",100,100,"Charcoal","t",
"GrA-41636",5,4,"General","t",
"GrA-39655",5,4,"General","t",
"UtC-1945",5,4,"General","t",
"UtC-1949",5,5,"General","t",
"SUERC-26360",5,4,"General","t",
"GrA-56014",5,4,"General","t",
"GrN-56013",5,4,"General","t",
"GrA-12299",5,4,"General","t",
"GrA-14965",100,100,"Cremation","t",
"GrN-851",100,100,"Charcoal","t",
"GrN-1855",100,100,"Charcoal","t",
"GrN-11918",100,100,"Charcoal","t",
"GrN-7518",100,100,"Charcoal","t",
"GrN-6129",100,100,"Charcoal","t",
"GrN-6368",100,100,"Charcoal","t",
"GrN-6349",100,100,"Charcoal","t",
"GrA-41646",100,100,"Charcoal","t",
"GrN-6126",100,100,"Charcoal","t",
"GrN-8247",100,100,"Charcoal","t",
"GrN-6724",100,100,"Charcoal","t",
"Poz-68248",5,4,"General","t",
"Poz-68249",5,3,"General","t",
"GrA-13599",100,100,"Cremation","t",
"GrA-13600",100,100,"Cremation","t",
"R-combine",100,100,"Cremation","t",
"GrA-13705",100,100,"Cremation","t",
"GrA-13706",100,100,"Cremation","t",
"GrA-13958",100,100,"Cremation","t",
"GrA-14086",100,100,"Cremation","t",
"GrA-14088",100,100,"Cremation","t",
"GrA-14089",100,100,"Cremation","t",
"GrA-14090",100,100,"Cremation","t",
"GrA-14095",100,100,"Cremation","t",
"GrA-14168",100,100,"Cremation","t",
"GrA-14973",100,100,"Cremation","t",
"GrA-15459",100,100,"Cremation","t",
"GrA-15642",100,100,"Cremation","t",
"Poz-88040",100,100,"Cremation","t",
"GrN-16040",100,100,"Cremation","t",
"GrA-16021",100,100,"Cremation","t",
"GrM-26730",100,100,"Cremation","t",
"GrN-6156",100,100,"Charcoal","t",
"GrN-4201",100,100,"Charcoal","t",
"GrN-5767",100,100,"Charcoal","t",
"GrA-41638",5,3,"General","t",
"GrA-41639",5,3,"General","t",
"KlA-23204",5,4,"General","t",
"KlA-23207",5,4,"General","t",
"Poz-71757",5,4,"General","t",
"Beta-421914",5,4,"General","t",
"GrA-39456",100,100,"Charcoal","t",
"GrN-16492",100,100,"Charcoal","t",
"GrN-12262",100,100,"Charcoal","t",
"GrN-12263",100,100,"Charcoal","t",
"GrN-16494",100,100,"Charcoal","t",
"GrN-11763",100,100,"Charcoal","t",
"GrN-11764",100,100,"Charcoal","t",
