"Element","Prior","Posterior","Model","Type"
"Poz-74635",5,5,"General","t",
"Poz-75446",5,5,"General","t",
"R-combine",5,5,"General","t",
"Ki-6881",5,5,"General","t",
"Poz-16596",5,5,"General","t",
"R-combine",5,5,"General","t",
"Poz-33427",5,5,"General","t",
"OxA-26755",5,5,"General","t",
"Poz-85608",5,5,"General","t",
"Poz-36250",5,5,"General","t",
"Poz-77329",5,5,"General","t",
"Gd-1684",5,5,"General","t",
"Poz-20655",100,100,"Cremation","t",
"Ki-6242",5,5,"General","t",
"R-combine",5,5,"General","t",
"Poz-89314",5,5,"General","t",
"Ki-5717",5,5,"General","t",
"OxA-X-2417-15",5,5,"General","t",
"Poz-25936",5,5,"General","t",
"GrN-20926",5,5,"General","t",
"AAR-28708",5,2,"Cremation","t",
"Kuczkowo 1",5,9,"Cremation","t",
"Malice 1, Ind. A",5,4,"Cremation","t",
"Malice 1, Ind. B",5,5,"Cremation","t",
"Malice 1, Ind. C",5,4,"Cremation","t",
"Malice 1, Ind. D",5,4,"Cremation","t",
"Opatowice 1/38",5,2,"Cremation","t",
"Opatowice 36/101A",5,3,"Cremation","t",
"Opatowice 36/123",5,5,"Cremation","t",
"Sandomierz 78",5,5,"Cremation","t",
"Ki-6914",5,5,"General","t",
"Ki-6909",5,5,"General","t",
"Ki-7831",5,5,"General","t",
"Ki-7830",5,5,"General","t",
"Poz-61739",5,5,"General","t",
"Ki-7829",5,5,"General","t",
"OxA-23438",5,5,"General","t",
"Poz-90800",5,5,"General","t",
"Poz-90802",5,5,"General","t",
"Poz-90804",5,5,"General","t",
"Poz-90806",5,5,"General","t",
"Poz-90807",5,5,"General","t",
"MAMS-30072",5,4,"General","t",
"MAMS-30073",5,5,"General","t",
"MAMS-30074",5,4,"General","t",
"Poz-61735",5,5,"General","t",
"Poz-21911",5,5,"General","t",
"Poz-21912",5,5,"General","t",
"Ki-5841",5,5,"General","t",
"GrN-14022",5,5,"General","t",
"Ki-6508",5,5,"General","t",
"Ki-6509",5,6,"General","t",
"Poz-61732",5,5,"General","t",
"Ki-5434",5,5,"General","t",
"Poz-58148",5,5,"General","t",
"Poz-44433",5,5,"General","t",
"Poz-44431",5,7.000000000000001,"General","t",
"Poz-44430",5,5,"General","t",
"Poz-44432",5,5,"General","t",
"Poz-44485",5,5,"General","t",
"Poz-94493",5,5,"General","t",
"Poz-94503",5,5,"General","t",
"Poz-90808",5,5,"General","t",
"Poz-90809",5,5,"General","t",
"Poz-90810",5,5,"General","t",
"Gd-4117",5,5,"General","t",
"Ki-5595",5,5,"General","t",
"Gd-6438",5,5,"General","t",
"Poz-61733",5,5,"General","t",
"Ki-6513",5,5,"General","t",
"Poz-61734",5,5,"General","t",
"Poz-58109",5,5,"General","t",
"Poz-102997",5,5,"General","t",
"Poz-102996",5,5,"General","t",
"Poz-111913",5,5,"General","t",
"Poz-130232",5,5,"General","t",
"Poz-111914",5,5,"General","t",
"OxA-23437",5,5,"General","t",
"Poz-90821",5,5,"General","t",
"GrN-20927",5,5,"General","t",
"Poz-90785",5,5,"General","t",
"Poz-61738",5,5,"General","t",
"Ki-5910",5,5,"General","t",
"Ki-5952",5,5,"General","t",
"Ki-5433",5,5,"General","t",
"Poz-58111",5,5,"General","t",
"Ki-6221",5,5,"General","t",
