"Element","Prior","Posterior","Model","Type"
"Ki-6889",5,4,"General","t",
"Poz-25614",5,4,"General","t",
"Poz-134518",5,4,"General","t",
"Poz-90898",5,4,"General","t",
"Poz-134519",5,5,"General","t",
"Poz-25616",5,4,"General","t",
"Ki-6894",5,4,"General","t",
"R-combine",5,4,"General","t",
"Poz-134515",5,4,"General","t",
"Poz-134516",5,4,"General","t",
"Ki-8955",5,4,"General","t",
"Ki-8952",5,4,"General","t",
"Poz-9450",5,4,"General","t",
"Poz-9587",5,13,"General","t",
"Poz-90760",5,4,"General","t",
"Poz-90896",5,5,"General","t",
"Poz-90897",5,4,"General","t",
"Poz-90899",5,4,"General","t",
"Poz-73135",100,100,"Charcoal","t",
"Poz-91069",100,100,"Charcoal","t",
"Ki-10654",5,4,"General","t",
"Ki-10651",5,5,"General","t",
"Ki-5009",5,4,"General","t",
"Gd-9249",5,4,"General","t",
"Ki-5006",5,4,"General","t",
"Ki-5919",5,4,"General","t",
"Ki-10653",5,4,"General","t",
"Ki-6930",5,7.000000000000001,"General","t",
"Ki-5008",5,4,"General","t",
"Poz-62452",5,4,"General","t",
"Ivanye",5,3,"Cremation","t",
"Khartoniv",5,3,"Cremation","t",
"Tovpyzhy",5,5,"Cremation","t",
