"Order","Start_CW","BETA-487621","Erl-4726","Erl-4727","DeA-36656","CRL-19317","BRAMS-2959","KIA-34709","KIA-34711","MAMS-30751","Poz-14924","DeA-35010","DeA-16085","DeA-16086","Poz-98508","KIA-34732","KIA-34733","MAMS-52820","MAMS-52833","KIA-34693","KIA-34695","KIA-34696","KIA-34700","KIA-34701","KIA-34702","KIA-34703","KIA-34704","Poz-14919","Erl-4680","KIA-34706","KIA-34705","KIA-34708","DeA-19323","DeA-35009","DeA-26662","MAMS-48835","R-combine","DeA-33257","MAMS-41377","MAMS-41378","MAMS-38481","MAMS-45787","MAMS-45789","MAMS-45788","MAMS-30795","MAMS-38483","Poz-86648","R-combine","CRL-17484","MAMS-44709","MAMS-41374","MAMS-41375","PSUAMS-3888","PSUAMS-4026","MAMS-45791","PSUAMS-3887","GrN-9376","KIA-11798","MAMS-45792","MAMS-45793","MAMS-45794","MAMS-45796","MAMS-44710","GrN-9481","GrN-9379","GrN-9482","MAMS-38472","CRL-9192","CRL-9198","MAMS-38473","MAMS-38474","CRL-9200","MAMS-46362","MAMS-30760","CRL-9203","MAMS-30758","MAMS-45798","MAMS-30759","R-combine","CRL-9182","R-combine","MAMS-30761","KI-4139","KN-4886","KI-4140","KI-4141","KIA-40715","KIA-40716","KIA-40717","KN-4889","KN-4890","KN-4887","KN-4888","KIA-162","KN-4891","Erl-7807","KIA-41736","KN-4892","Hd-18963","KN-4866","KI-4143","KI-4142/KIA-2689","KI-4144","KI-4145","MAMS-21488","MAMS-21487","Erl-7779","KIA-34261","KIA-29118","KIA-29116","KIA-27878","KIA-34264","KIA-27852","KIA-27850","KIA-26664","KIA-23647","MAMS-14075","KI-4146","KI-4147","KN-4893","Erl-10901","Erl-10966","KIA-38983","KIA-38984","KIA-39548","KIA-39552","KIA-39553","KIA-39549","KIA-39550","KIA-39547","KIA-29551","KI-4150","KI-4149/KIA-2968","KI-4148","Hd-19048","HD-19634","KIA-32304","MAMS-17173","MAMS-111739","MAMS-111747","MAMS-111771","MAMS-111775","MAMS-17087","MAMS-17070","MAMS-17181","MAMS-17071","MAMS-17073","MAMS-17064","MAMS-17270","MAMS-18152","MAMS-21691","MAMS-17082","KI-4153","MAMS-19530","Erl-7042","Erl-8629","KI-4154","KI-4155","KI-4156","KI-4157","KI-4158","Erl-4195","Erl-4193","KIA-38725","KIA-38724","KI-4151","MAMS-21675","R-combine","R-combine","MAMS-34184","MAMS-34183","MAMS-34182","Hv-22262","Hv-22263","Hv-22264","GrN-7518","KIA-40269","GrN-8008","End_CW","Start_GAW","KN-4894","KN-4895","KN-4896","Bln-1346","KIA-354","Bln-4709","KIA-41789","KIA-23660","Erl-8208","KIA-39689","KIA-39689","Poz-109010","Osterburg-Düsedau","Zauschwitz","Zelchow 26","End_GAW",
"Start_CW",0,0.8231,0.9967,0.9621,0.9995,0.9954,0.9971,0.9924,0.8706,0.9999,0.9563,0.9955,0.9973,0.9505,0.9971,0.9986,0.9979,0.9986,0.9814,0.9124,0.9975,0.9838,0.999,0.9885,0.9972,0.9976,0.992,0.998,0.9592,0.18096,0.9976,0.9997,0.9986,0.9984,0.9911,0.9975,0.9975,0.9972,0.9989,0.9977,0.9762,0.536,0.653,0.998,0.13728,0.9889,0.7646,0.14301,0.9997,0.9978,0.9972,0.9973,0.9988,0.9975,0.9241,0.9982,0.9971,0.9982,0.3604,0.007413,0.8757,0.8096,0.6723,0.9983,0.9987,0.9981,0.9971,0.5919,0.4918,0.9998,0.9983,0.4849,0.999,0.9985,0.522,0.23978,0.3994,0.18158,0.4229,0.6118,0.9666,0.9984,0.9755,0.9563,0.9642,0.9979,0.9979,0.9951,0.9975,0.9581,0.9562,0.9977,0.9958,0.9454,0.9974,0.9534,0.3044,0.9973,0.9945,0.9886,0.9641,0.9899,0.866,0.9973,0.9977,0.9981,0.9936,0.7621,0.9969,0.9151,0.9983,0.9179,0.9826,0.9431,0.9919,0.9745,0.9987,0.9905,0.9978,0.9978,0.386,0.3926,0.7495,0.25438,0.9249,0.8599,0.9986,0.4535,0.9973,0.9973,0.672,0.9938,0.983,0.9904,0.9987,0.9965,0.6246,0.9986,0.997,0.9976,0.9486,0.9981,0.998,0.9975,0.9977,0.9978,0.9999,1,0.9978,0.9957,0.9975,0.9979,0.9983,0.8846,0.9959,0.9973,0.9961,0.9984,0.9994,0.9979,0.9979,0.9733,0.9546,0.8476,0.8239,0.9982,0.96,0.9977,0.9972,0.9986,0.998,0.9982,0.8072,0.8388,0.8143,0.7728,0.5955,0.6726,1,0.000014,0.3245,0.25097,0.12892,0.17521,0.20702,0.28101,0.006198,0.19158,0.04829,0.29053,0.12158,0.08106,0.09016,0.2092,0,0.6788,
"BETA-487621",0.1769,0,0.9679,0.8959,0.9556,0.9368,0.9358,0.8925,0.5682,0.9936,0.8808,0.9068,0.9879,0.7338,0.9902,0.9899,0.9696,0.9517,0.955,0.6681,0.9613,0.8245,0.9627,0.8508,0.9273,0.9459,0.8741,0.9909,0.8906,0.12053,0.9429,0.9926,0.9874,0.9739,0.8761,0.9448,0.942,0.9434,0.9909,0.9909,0.8113,0.24092,0.31229,0.9774,0.10957,0.8572,0.4448,0.12019,0.955,0.9501,0.9358,0.9902,0.9921,0.991,0.643,0.9855,0.931,0.9915,0.16959,0.013506,0.5527,0.4656,0.3298,0.9825,0.9803,0.9916,0.9244,0.3537,0.26888,0.9926,0.9914,0.26484,0.9912,0.9844,0.29141,0.13546,0.18352,0.12401,0.19094,0.3837,0.7486,0.9614,0.9066,0.8814,0.8218,0.9763,0.9693,0.921,0.9619,0.8882,0.8817,0.991,0.9868,0.6625,0.9901,0.8148,0.15931,0.9901,0.9864,0.9169,0.8217,0.9553,0.6919,0.9902,0.9424,0.9848,0.9448,0.412,0.9338,0.654,0.9596,0.6555,0.8299,0.6976,0.9009,0.8055,0.9924,0.975,0.9819,0.9889,0.19375,0.20139,0.3995,0.2017,0.685,0.5348,0.9437,0.20689,0.99,0.9452,0.3293,0.9826,0.9586,0.974,0.9827,0.9245,0.30129,0.9339,0.9345,0.9312,0.7167,0.9497,0.9419,0.9247,0.9213,0.9253,0.9534,0.9511,0.9909,0.8832,0.9324,0.9404,0.9911,0.5424,0.987,0.9757,0.9877,0.9912,0.9928,0.9805,0.9649,0.8678,0.8792,0.5331,0.5001,0.9868,0.756,0.9476,0.9226,0.9743,0.9512,0.9504,0.6438,0.6836,0.652,0.5409,0.4155,0.4615,0.9988,0.000229,0.18596,0.13575,0.07672,0.09758,0.10621,0.15016,0.003615,0.1008,0.03184,0.14922,0.0799,0.06281,0.05586,0.10222,0.000006,0.3591,
"Erl-4726",0.003277,0.03212,0,0.5286,0.2334,0.25657,0.19176,0.16246,0.04338,0.6974,0.4897,0.16802,0.6421,0.08906,0.761,0.6633,0.3943,0.21648,0.8181,0.07512,0.29657,0.11988,0.29699,0.13359,0.18279,0.20626,0.14682,0.7052,0.5119,0.013384,0.20802,0.6915,0.6225,0.4224,0.1494,0.20342,0.19579,0.20265,0.6546,0.7792,0.11867,0.01352,0.01503,0.4599,0.015912,0.13866,0.028518,0.025233,0.229,0.22111,0.19144,0.6934,0.7163,0.7919,0.05209,0.5705,0.19145,0.7571,0.010799,0.000232,0.03333,0.023976,0.015799,0.5539,0.5213,0.7531,0.181,0.03492,0.021562,0.6661,0.6878,0.021624,0.6523,0.5221,0.024504,0.009382,0.011819,0.011109,0.01134,0.04603,0.0846,0.29118,0.3942,0.4897,0.14337,0.5144,0.4066,0.18892,0.3164,0.5085,0.4923,0.7349,0.7892,0.04792,0.7242,0.16357,0.014612,0.7883,0.8742,0.27195,0.14335,0.552,0.16524,0.7584,0.20844,0.5945,0.374,0.020221,0.19725,0.06526,0.28891,0.06399,0.1251,0.07153,0.17257,0.11589,0.73,0.8305,0.5919,0.7014,0.013296,0.014787,0.019308,0.05823,0.07679,0.03279,0.20182,0.013576,0.8427,0.24668,0.015095,0.8239,0.8143,0.8094,0.5128,0.18295,0.015111,0.18509,0.19119,0.18645,0.07979,0.22487,0.20091,0.17759,0.17632,0.17751,0.21645,0.20762,0.7259,0.14794,0.18704,0.19343,0.7054,0.026258,0.8106,0.5515,0.819,0.7056,0.7716,0.5615,0.383,0.20775,0.4899,0.03777,0.03243,0.6402,0.09543,0.21372,0.17997,0.4227,0.22414,0.22193,0.21025,0.23662,0.21494,0.12854,0.10227,0.11064,0.9245,0.000015,0.006337,0.003439,0.001499,0.002006,0.002102,0.003835,0.000079,0.001927,0.000619,0.003252,0.001492,0.001183,0.001828,0.001923,0.000001,0.020099,
"Erl-4727",0.03794,0.1041,0.4714,0,0.29376,0.30596,0.26338,0.23966,0.12074,0.602,0.4659,0.24428,0.5632,0.17192,0.6675,0.5805,0.3986,0.28238,0.7831,0.15431,0.3352,0.20356,0.3355,0.21598,0.25648,0.27431,0.2269,0.6126,0.4855,0.030114,0.2749,0.598,0.5531,0.4169,0.22884,0.2723,0.2666,0.27134,0.5702,0.682,0.20114,0.05337,0.06575,0.4416,0.029664,0.2198,0.09358,0.03707,0.29104,0.28456,0.26293,0.5992,0.6195,0.6941,0.13706,0.5141,0.26238,0.6627,0.03875,0.003339,0.11218,0.0945,0.06931,0.5044,0.4835,0.6574,0.25441,0.08222,0.06121,0.5783,0.5954,0.0606,0.5676,0.4819,0.06642,0.030667,0.04268,0.029406,0.0437,0.09417,0.17138,0.332,0.3952,0.4674,0.21815,0.4797,0.4069,0.25924,0.3477,0.4835,0.4684,0.6417,0.7073,0.13781,0.6303,0.22998,0.03924,0.6975,0.794,0.31326,0.21812,0.5122,0.21532,0.6677,0.27542,0.5322,0.3841,0.08394,0.26707,0.14671,0.3294,0.14613,0.20727,0.15659,0.24656,0.19842,0.6311,0.7704,0.534,0.617,0.04383,0.04598,0.0819,0.07301,0.1582,0.11036,0.27085,0.04772,0.7561,0.3007,0.06851,0.7533,0.7783,0.7467,0.4762,0.25581,0.06387,0.25851,0.26293,0.25905,0.16454,0.28669,0.27033,0.25212,0.25159,0.25267,0.28228,0.27635,0.6273,0.2285,0.25941,0.26486,0.6126,0.10729,0.7307,0.5074,0.7379,0.6127,0.6766,0.5119,0.3916,0.26564,0.4666,0.1123,0.1044,0.5668,0.17965,0.27938,0.2535,0.4172,0.28681,0.28557,0.24145,0.26373,0.24503,0.1719,0.13506,0.1487,0.8003,0.000199,0.03603,0.026724,0.015203,0.019369,0.021429,0.029353,0.000759,0.020252,0.00638,0.028612,0.015735,0.012062,0.011219,0.021055,0.00005,0.07519,
"DeA-36656",0.000506,0.04439,0.7666,0.7062,0,0.4968,0.4052,0.3361,0.06733,0.9796,0.6705,0.3481,0.9475,0.16528,0.9744,0.9523,0.7034,0.4664,0.8806,0.13664,0.596,0.23422,0.5965,0.2665,0.3839,0.4398,0.2978,0.9711,0.6923,0.018908,0.4403,0.9768,0.9179,0.7517,0.3049,0.4324,0.4126,0.4305,0.964,0.9766,0.23379,0.015403,0.015801,0.8027,0.03008,0.27897,0.03973,0.04234,0.4915,0.4711,0.4043,0.9745,0.9779,0.9768,0.08287,0.9054,0.4031,0.9756,0.013418,0.00002,0.04365,0.027501,0.016437,0.8623,0.8296,0.9767,0.3783,0.05735,0.031382,0.9698,0.9735,0.031154,0.9702,0.8816,0.03668,0.012702,0.01451,0.015644,0.013891,0.07801,0.15343,0.5886,0.616,0.6716,0.28999,0.8024,0.705,0.3951,0.6073,0.6888,0.6738,0.9735,0.9631,0.07113,0.9702,0.3207,0.01921,0.9741,0.9654,0.4976,0.29011,0.7873,0.28806,0.9704,0.4402,0.8947,0.6259,0.021521,0.4157,0.11395,0.5734,0.11088,0.2466,0.12612,0.3576,0.22705,0.9795,0.9314,0.8702,0.9506,0.016719,0.01919,0.020488,0.09255,0.14058,0.04439,0.4283,0.016633,0.972,0.4939,0.015653,0.9522,0.8854,0.9291,0.8577,0.3827,0.016363,0.3878,0.4036,0.3923,0.14446,0.4743,0.4268,0.3714,0.3652,0.3712,0.4653,0.4428,0.9766,0.29894,0.394,0.4106,0.9714,0.027387,0.9644,0.8224,0.9671,0.9711,0.9783,0.8491,0.667,0.3962,0.6702,0.05483,0.0448,0.9192,0.18014,0.4544,0.3751,0.751,0.4766,0.4722,0.3283,0.3682,0.3357,0.20254,0.15933,0.17299,0.9983,0,0.006181,0.002091,0.00025,0.000544,0.00047,0.002184,0.000029,0.000346,0.000126,0.001006,0.000142,0.00008,0.001836,0.000275,0,0.027194,
"CRL-19317",0.00457,0.06324,0.7434,0.694,0.5032,0,0.4227,0.3572,0.08849,0.9357,0.6591,0.3696,0.9017,0.19011,0.9423,0.9094,0.6799,0.4758,0.8772,0.1595,0.5852,0.26116,0.5855,0.29249,0.4037,0.453,0.3225,0.9309,0.6805,0.021053,0.4522,0.9322,0.8774,0.7198,0.3278,0.4466,0.4299,0.4449,0.9163,0.9475,0.2593,0.021255,0.024667,0.7641,0.03242,0.30335,0.05547,0.04357,0.497,0.4801,0.4212,0.9308,0.9377,0.9499,0.10801,0.8589,0.4202,0.9431,0.017027,0.000317,0.06543,0.04464,0.026545,0.824,0.7947,0.9429,0.3979,0.06769,0.03895,0.9227,0.9292,0.03849,0.9204,0.8332,0.04491,0.015504,0.018474,0.018156,0.018073,0.08811,0.18077,0.579,0.6057,0.6602,0.3095,0.7735,0.6837,0.4114,0.5966,0.6774,0.6627,0.9377,0.9382,0.09866,0.9332,0.3356,0.022316,0.9471,0.9542,0.5002,0.30936,0.7648,0.29691,0.939,0.4521,0.8553,0.6154,0.03579,0.4307,0.13728,0.5665,0.13508,0.27198,0.15155,0.3771,0.25271,0.9416,0.9199,0.837,0.9152,0.021353,0.024076,0.03406,0.09418,0.16395,0.06488,0.4425,0.021298,0.954,0.4986,0.02557,0.9355,0.8805,0.9146,0.8139,0.4028,0.025228,0.4077,0.421,0.4111,0.17047,0.4821,0.4411,0.3923,0.3869,0.3923,0.4751,0.4561,0.9383,0.3253,0.413,0.4273,0.9308,0.04906,0.9428,0.7937,0.9464,0.9307,0.9476,0.8159,0.6513,0.4075,0.6585,0.0748,0.06349,0.8813,0.20619,0.4653,0.3952,0.7201,0.4838,0.4802,0.3299,0.3682,0.3373,0.20894,0.16346,0.17822,0.9915,0.000007,0.012379,0.006116,0.002263,0.003175,0.003273,0.006799,0.000098,0.003026,0.000937,0.00538,0.002287,0.001773,0.003352,0.002851,0,0.03859,
"BRAMS-2959",0.002869,0.0642,0.8082,0.7366,0.5948,0.5773,0,0.4201,0.09435,0.9869,0.7028,0.4358,0.9619,0.21677,0.9806,0.9653,0.764,0.5633,0.892,0.17981,0.6767,0.30241,0.6766,0.3412,0.477,0.5359,0.3776,0.9795,0.7237,0.022076,0.5343,0.9848,0.9375,0.8055,0.3847,0.5285,0.5083,0.5262,0.9757,0.9819,0.29979,0.020028,0.022375,0.8485,0.03711,0.3542,0.05639,0.04761,0.5872,0.5664,0.4982,0.9824,0.9848,0.9818,0.11625,0.9309,0.4964,0.9819,0.01673,0.000248,0.06544,0.04247,0.024009,0.8936,0.8667,0.9828,0.4705,0.07363,0.04042,0.9802,0.9821,0.04011,0.9809,0.9143,0.04734,0.015624,0.018012,0.018638,0.017514,0.09736,0.20421,0.6709,0.6635,0.7038,0.361,0.8414,0.7635,0.4851,0.6832,0.7205,0.7061,0.9807,0.9695,0.10285,0.9782,0.3882,0.022414,0.9797,0.9693,0.5699,0.3609,0.8185,0.3342,0.9773,0.5342,0.919,0.6851,0.033,0.5082,0.15274,0.6556,0.14892,0.3164,0.16925,0.4436,0.29157,0.9859,0.9393,0.8971,0.9623,0.021009,0.023982,0.031062,0.10334,0.18499,0.06543,0.5235,0.020609,0.9763,0.5802,0.022989,0.9588,0.8967,0.9376,0.8931,0.4745,0.02289,0.4828,0.4981,0.4855,0.19217,0.5673,0.5213,0.4642,0.4569,0.4642,0.5627,0.54,0.9833,0.3804,0.4889,0.5058,0.9797,0.04498,0.9701,0.8559,0.9727,0.9796,0.984,0.8803,0.7298,0.4685,0.7023,0.07788,0.06488,0.938,0.23565,0.5501,0.4663,0.8057,0.571,0.5669,0.3605,0.402,0.3678,0.2275,0.17731,0.19326,0.9987,0.000001,0.01078,0.004724,0.001371,0.002085,0.001992,0.005161,0.000057,0.001759,0.000589,0.003538,0.001308,0.000958,0.002972,0.001685,0,0.0384,
"KIA-34709",0.007601,0.10753,0.8375,0.7603,0.6639,0.6428,0.5799,0,0.1457,0.9881,0.7298,0.5177,0.9667,0.28664,0.9822,0.9699,0.8035,0.6376,0.9012,0.24142,0.732,0.3812,0.7326,0.4215,0.558,0.6131,0.4584,0.9814,0.7486,0.02712,0.6113,0.9861,0.9471,0.8387,0.4655,0.6072,0.5892,0.6047,0.9784,0.9832,0.3758,0.03128,0.04092,0.8743,0.04474,0.4339,0.09271,0.05476,0.6585,0.6391,0.5784,0.9835,0.9859,0.9832,0.1781,0.9415,0.5757,0.9835,0.023186,0.000576,0.11632,0.08097,0.04496,0.9107,0.8886,0.9841,0.5509,0.09877,0.05737,0.9824,0.9837,0.05674,0.9826,0.9282,0.06658,0.020771,0.025159,0.023734,0.025131,0.12499,0.27786,0.7271,0.7036,0.7306,0.4333,0.8669,0.8028,0.5629,0.7371,0.7461,0.7323,0.9824,0.9722,0.16915,0.98,0.4541,0.028607,0.9812,0.9719,0.6306,0.433,0.8422,0.3827,0.9794,0.6107,0.9318,0.7319,0.06437,0.5866,0.21383,0.7137,0.21039,0.3945,0.23624,0.5229,0.3679,0.9868,0.9446,0.9129,0.9674,0.030177,0.03427,0.06045,0.11547,0.24831,0.11299,0.6017,0.029436,0.9784,0.6477,0.04364,0.9624,0.9061,0.9428,0.9107,0.5556,0.04108,0.5643,0.5786,0.5673,0.26017,0.6397,0.6001,0.5465,0.5397,0.5464,0.6375,0.6186,0.9844,0.4641,0.5689,0.5865,0.9819,0.09443,0.9727,0.8784,0.9749,0.9818,0.9854,0.8995,0.7748,0.5349,0.7294,0.12483,0.10759,0.9472,0.30742,0.625,0.5485,0.8388,0.643,0.6399,0.3961,0.4382,0.4038,0.26151,0.20132,0.22097,0.9988,0.000005,0.023178,0.011639,0.004164,0.005996,0.00579,0.013197,0.000244,0.005285,0.001675,0.010818,0.003986,0.003183,0.005623,0.004961,0,0.06417,
"KIA-34711",0.12944,0.4318,0.9566,0.8793,0.9327,0.9115,0.9056,0.8543,0,0.9932,0.8619,0.8707,0.986,0.6741,0.9895,0.9882,0.9566,0.9271,0.9482,0.6071,0.9437,0.7739,0.9448,0.8037,0.8951,0.9194,0.8314,0.99,0.8727,0.09775,0.9161,0.992,0.9842,0.9636,0.8335,0.9177,0.9136,0.9162,0.99,0.9902,0.7602,0.19069,0.25296,0.9693,0.09789,0.8118,0.3805,0.10821,0.9321,0.9258,0.9058,0.9896,0.9916,0.9902,0.5732,0.9819,0.9008,0.9907,0.13185,0.009822,0.4808,0.3952,0.2689,0.977,0.9731,0.9907,0.8912,0.30512,0.22389,0.9917,0.9906,0.22101,0.9905,0.98,0.24567,0.10665,0.14358,0.09974,0.1493,0.3362,0.6873,0.9434,0.8854,0.8624,0.7779,0.9675,0.9564,0.889,0.9442,0.8707,0.8636,0.99,0.9852,0.59,0.9891,0.7736,0.1265,0.9891,0.9845,0.89,0.7777,0.944,0.6493,0.9891,0.9151,0.9807,0.9257,0.3447,0.9039,0.5895,0.9404,0.5902,0.78,0.633,0.8648,0.7529,0.9919,0.9712,0.9764,0.987,0.15446,0.16226,0.3326,0.18841,0.6242,0.4641,0.9158,0.16312,0.9885,0.9209,0.26799,0.9804,0.952,0.9702,0.9773,0.8925,0.24425,0.9029,0.9045,0.9003,0.655,0.9251,0.9139,0.8918,0.8877,0.8919,0.9284,0.9253,0.9903,0.8409,0.9017,0.911,0.9902,0.4673,0.9852,0.9676,0.9864,0.9904,0.992,0.9739,0.9497,0.8329,0.8603,0.4649,0.4323,0.9835,0.6979,0.9219,0.8894,0.9635,0.9269,0.9258,0.6069,0.6475,0.6152,0.4937,0.3766,0.4187,0.9989,0.000209,0.15135,0.10634,0.05852,0.07457,0.08082,0.11891,0.002893,0.07638,0.024203,0.11694,0.06062,0.04786,0.04417,0.07681,0.000011,0.30007,
"MAMS-30751",0.000061,0.006366,0.30259,0.398,0.020433,0.06432,0.013056,0.011867,0.006846,0,0.3557,0.012129,0.4258,0.009339,0.617,0.4598,0.16099,0.0145,0.7751,0.008696,0.06627,0.010348,0.06617,0.010858,0.012286,0.014647,0.010962,0.5206,0.3798,0.005824,0.017264,0.4917,0.4132,0.1772,0.011342,0.01408,0.014055,0.014171,0.4361,0.6481,0.010449,0.005271,0.005256,0.20803,0.000757,0.011086,0.006003,0.008408,0.018832,0.018695,0.012778,0.4968,0.5362,0.6694,0.007761,0.3282,0.01407,0.609,0.004138,0,0.006846,0.005969,0.00543,0.3302,0.29593,0.6018,0.012955,0.007535,0.006549,0.4514,0.4878,0.006545,0.4262,0.26166,0.006623,0.002932,0.004772,0.004286,0.004189,0.011292,0.009375,0.06095,0.22471,0.355,0.014186,0.30284,0.1823,0.015147,0.09193,0.376,0.3588,0.5718,0.6725,0.007915,0.554,0.028981,0.006829,0.6641,0.8207,0.09046,0.014034,0.3804,0.06032,0.6135,0.018241,0.3787,0.18034,0.00595,0.015603,0.008593,0.06729,0.008539,0.010597,0.008538,0.0135,0.010094,0.5595,0.7641,0.3912,0.5284,0.005089,0.005616,0.005842,0.026673,0.008664,0.006664,0.014371,0.005598,0.7612,0.04909,0.00476,0.7391,0.7654,0.7289,0.26135,0.01265,0.005084,0.012489,0.01276,0.012291,0.009043,0.023683,0.014353,0.011187,0.013069,0.01144,0.01456,0.01417,0.5542,0.01134,0.012068,0.011783,0.5208,0.006851,0.7091,0.3544,0.721,0.5208,0.6326,0.3531,0.16742,0.05052,0.3563,0.006909,0.00669,0.4421,0.009451,0.016845,0.012616,0.17778,0.020453,0.020073,0.11354,0.1309,0.11641,0.06258,0.05204,0.05504,0.894,0,0.000595,0.000256,0.00004,0.000084,0.000099,0.000349,0.000007,0.000075,0.000012,0.000311,0.000018,0.000005,0.000192,0.000042,0,0.003582,
