"Element","Prior","Posterior","Model","Type"
"BETA-487621",5,3,"General","t",
"Erl-4726",5,3,"General","t",
"Erl-4727",100,100,"General","t",
"DeA-36656",5,2,"General","t",
"CRL-19317",5,2,"General","t",
"BRAMS-2959",5,2,"General","t",
"KIA-34709",5,2,"General","t",
"KIA-34711",5,3,"General","t",
"MAMS-30751",5,3,"General","t",
"Poz-14924",100,100,"General","t",
"DeA-35010",5,2,"General","t",
"DeA-16085",5,3,"General","t",
"DeA-16086",5,3,"General","t",
"Poz-98508",5,4,"General","t",
"KIA-34732",5,3,"General","t",
"KIA-34733",5,3,"General","t",
"MAMS-52820",5,2,"General","t",
"MAMS-52833",5,31,"General","t",
"KIA-34693",5,3,"General","t",
"KIA-34695",5,2,"General","t",
"KIA-34696",5,3,"General","t",
"KIA-34700",5,2,"General","t",
"KIA-34701",5,3,"General","t",
"KIA-34702",5,2,"General","t",
"KIA-34703",5,3,"General","t",
"KIA-34704",5,3,"General","t",
"Poz-14919",5,3,"General","t",
"Erl-4680",100,100,"General","t",
"KIA-34706",5,7.000000000000001,"General","t",
"KIA-34705",5,2,"General","t",
"KIA-34708",5,3,"General","t",
"DeA-19323",5,3,"General","t",
"DeA-35009",5,2,"General","t",
"DeA-26662",5,3,"General","t",
"MAMS-48835",5,2,"General","t",
"R-combine",5,3,"General","t",
"DeA-33257",5,2,"General","t",
"MAMS-41377",5,3,"General","t",
"MAMS-41378",5,4,"General","t",
"MAMS-38481",5,3,"General","t",
"MAMS-45787",5,4,"General","t",
"MAMS-45789",5,4,"General","t",
"MAMS-45788",5,3,"General","t",
"MAMS-30795",5,18,"General","t",
"MAMS-38483",5,3,"General","t",
"Poz-86648",5,4,"General","t",
"R-combine",5,17,"General","t",
"CRL-17484",5,2,"General","t",
"MAMS-44709",5,2,"General","t",
"MAMS-41374",5,2,"General","t",
"MAMS-41375",5,3,"General","t",
"PSUAMS-3888",5,3,"General","t",
"PSUAMS-4026",5,4,"General","t",
"MAMS-45791",5,3,"General","t",
"PSUAMS-3887",5,3,"General","t",
"GrN-9376",5,2,"General","t",
"KIA-11798",5,4,"General","t",
"MAMS-45792",5,5,"General","t",
"MAMS-45793",5,26,"General","t",
"MAMS-45794",5,3,"General","t",
"MAMS-45796",5,3,"General","t",
"MAMS-44710",5,4,"General","t",
"GrN-9481",5,3,"General","t",
"GrN-9379",5,3,"General","t",
"GrN-9482",5,4,"General","t",
"MAMS-38472",5,3,"General","t",
"CRL-9192",5,5,"General","t",
"CRL-9198",5,5,"General","t",
"MAMS-38473",5,3,"General","t",
"MAMS-38474",5,3,"General","t",
"CRL-9200",5,6,"General","t",
"MAMS-46362",5,3,"General","t",
"MAMS-30760",5,2,"General","t",
"CRL-9203",5,5,"General","t",
"MAMS-30758",5,5,"General","t",
"MAMS-45798",5,5,"General","t",
"MAMS-30759",5,6,"General","t",
"R-combine",5,4,"General","t",
"CRL-9182",5,5,"General","t",
"R-combine",5,3,"General","t",
"MAMS-30761",5,2,"General","t",
"KI-4139",5,3,"General","t",
"KN-4886",100,100,"General","t",
"KI-4140",5,3,"General","t",
"KI-4141",5,3,"General","t",
"KIA-40715",5,3,"General","t",
"KIA-40716",5,2,"General","t",
"KIA-40717",5,2,"General","t",
"KN-4889",100,100,"General","t",
"KN-4890",100,100,"General","t",
"KN-4887",5,3,"General","t",
"KN-4888",5,7.000000000000001,"General","t",
"KIA-162",5,3,"General","t",
"KN-4891",5,3,"General","t",
"Erl-7807",5,3,"General","t",
"KIA-41736",5,6,"General","t",
"KN-4892",5,5,"General","t",
"Hd-18963",5,8,"General","t",
"KN-4866",5,3,"General","t",
"KI-4143",5,3,"General","t",
"KI-4142/KIA-2689",5,3,"General","t",
"KI-4144",5,3,"General","t",
"KI-4145",5,4,"General","t",
"MAMS-21488",5,2,"General","t",
"MAMS-21487",5,3,"General","t",
"Erl-7779",5,3,"General","t",
"KIA-34261",5,4,"General","t",
"KIA-29118",5,2,"General","t",
"KIA-29116",5,3,"General","t",
"KIA-27878",5,2,"General","t",
"KIA-34264",5,3,"General","t",
"KIA-27852",5,3,"General","t",
"KIA-27850",5,3,"General","t",
"KIA-26664",5,3,"General","t",
"KIA-23647",5,3,"General","t",
"MAMS-14075",5,3,"General","t",
"KI-4146",5,18,"General","t",
"KI-4147",5,3,"General","t",
"KN-4893",5,4,"General","t",
"Erl-10901",5,5,"General","t",
"Erl-10966",5,6,"General","t",
"KIA-38983",5,4,"General","t",
"KIA-38984",5,34,"General","t",
"KIA-39548",5,3,"General","t",
"KIA-39552",5,3,"General","t",
"KIA-39553",5,2,"General","t",
"KIA-39549",5,5,"General","t",
"KIA-39550",5,6,"General","t",
"KIA-39547",5,2,"General","t",
"KIA-29551",5,4,"General","t",
"KI-4150",5,12,"General","t",
"KI-4149/KIA-2968",5,32,"General","t",
"KI-4148",5,19,"General","t",
"Hd-19048",5,2,"General","t",
"HD-19634",5,2,"General","t",
"KIA-32304",5,4,"General","t",
"MAMS-17173",5,2,"General","t",
"MAMS-111739",5,2,"General","t",
"MAMS-111747",5,2,"General","t",
"MAMS-111771",5,3,"General","t",
"MAMS-111775",5,2,"General","t",
"MAMS-17087",5,2,"General","t",
"MAMS-17070",5,2,"General","t",
"MAMS-17181",5,3,"General","t",
"MAMS-17071",5,2,"General","t",
"MAMS-17073",5,2,"General","t",
"MAMS-17064",5,2,"General","t",
"MAMS-17270",5,3,"General","t",
"MAMS-18152",5,2,"General","t",
"MAMS-21691",5,2,"General","t",
"MAMS-17082",5,2,"General","t",
"KI-4153",5,3,"General","t",
"MAMS-19530",5,3,"General","t",
"Erl-7042",5,8,"General","t",
"Erl-8629",5,3,"General","t",
"KI-4154",5,8,"General","t",
"KI-4155",5,3,"General","t",
"KI-4156",5,4,"General","t",
"KI-4157",5,3,"General","t",
"KI-4158",5,2,"General","t",
"Erl-4195",5,3,"General","t",
"Erl-4193",100,100,"General","t",
"KIA-38725",5,3,"General","t",
"KIA-38724",5,3,"General","t",
"KI-4151",5,3,"General","t",
"MAMS-21675",5,3,"General","t",
"R-combine",5,2,"General","t",
"R-combine",5,2,"General","t",
"MAMS-34184",5,2,"General","t",
"MAMS-34183",5,2,"General","t",
"MAMS-34182",5,2,"General","t",
"Hv-22262",100,100,"General","t",
"Hv-22263",100,100,"General","t",
"Hv-22264",100,100,"General","t",
"GrN-7518",100,100,"Charcoal","t",
"KIA-40269",100,100,"Charcoal","t",
"GrN-8008",100,100,"Charcoal","t",
"KN-4894",5,4,"General","t",
"KN-4895",5,3,"General","t",
"KN-4896",5,2,"General","t",
"Bln-1346",5,2,"General","t",
"KIA-354",5,2,"General","t",
"Bln-4709",5,3,"General","t",
