"Element","Prior","Posterior","Model","Type"
"Ua-37494",5,1,"General","t",
"Beta-423305",5,1,"General","t",
"UBA-39934",5,1,"General","t",
"OxA-39287",5,1,"General","t",
"Ua-5361",50,99,"General","t",
"Lu-474",5,2,"General","t",
"Ua-19468",5,6,"General","t",
"Ua-19469",5,2,"General","t",
"Ua-37496",5,15,"General","t",
"Ua-33978",50,99,"General","t",
"Ua-37497",5,2,"General","t",
"Ua-36982",5,1,"General","t",
"R-combine",5,1,"General","t",
"Ua-65844",100,100,"Cremation","t",
"Ua-77052",100,100,"Cremation","t",
"Ua-67696",100,100,"Cremation","t",
"Ua-77053",100,100,"Cremation","t",
"Ua-77051",100,100,"Cremation","t",
"Ua-77047",100,100,"Cremation","t",
"Ua-77049",100,100,"Cremation","t",
"Ua-63189",100,100,"Cremation","t",
"Ua-63190",100,100,"Cremation","t",
"Ua-77050",100,100,"Cremation","t",
"Ua-77046",100,100,"Cremation","t",
"Ua-32323",5,3,"General","t",
"Ua-10687",5,3,"General","t",
"Ua-11465",5,4,"General","t",
"Ua-10688",5,10,"General","t",
"Poz-18447",50,99,"General","t",
"Ua-10429",5,3,"General","t",
"Ua-17280",5,3,"General","t",
"Ua-42928",5,3,"General","t",
"Ua-41107",5,2,"General","t",
"Ua-19927",5,3,"General","t",
"Ua-32324",5,3,"General","t",
"Ua-19832",5,3,"General","t",
"LuS-8676",20,48,"General","t",
"Ua-10430",5,3,"General","t",
"Ua-10738",5,3,"General","t",
"Ua-17279",5,3,"General","t",
"Ua-41108",5,3,"General","t",
"Ua-48708",5,3,"General","t",
"Ua-48709",5,3,"General","t",
"Ua-65849",5,3,"General","t",
"Ua-65854",5,4,"General","t",
"Ua-41786",5,3,"General","t",
"Ua-41787",5,3,"General","t",
"Ua-41788",5,3,"General","t",
"Ua-41789",5,3,"General","t",
"Ua-41790",5,7.000000000000001,"General","t",
"Ua-41791",60,99,"General","t",
"Ua-41792",5,2,"General","t",
"Ua-19831",5,3,"General","t",
"Ua-32325",5,3,"General","t",
"Ua-65843",5,3,"General","t",
"Ua-51520",5,3,"General","t",
"Ua-51521",5,3,"General","t",
"Beta-353394",5,3,"General","t",
"Poz-18293",100,100,"General","t",
"Poz-18291",5,3,"General","t",
"Ua-10739",5,4,"General","t",
"Ua-4476",5,3,"General","t",
"Ua-4775",5,6,"General","t",
"Ua-11407",5,3,"General","t",
"Ua-11408",5,3,"General","t",
"Ua-57011",5,2,"General","t",
"Ua-63187",5,3,"General","t",
"Poz-17021",5,4,"General","t",
"Ua-27691",50,99,"General","t",
"Ua-27692",40,95,"General","t",
"Ua-77788",5,3,"General","t",
"Ua-15881",5,4,"General","t",
"Ua-15880",5,3,"General","t",
"Ua-15879",5,3,"General","t",
"Ua-19513",5,3,"General","t",
"Ua-23508",5,3,"General","t",
"Ua-51518",5,4,"General","t",
"Ua-51519",5,2,"General","t",
"Ua-54405",5,2,"General","t",
"Ua-54406",5,3,"General","t",
"Ua-54407",5,4,"General","t",
"Ua-52465",5,2,"General","t",
"Ua-52466",5,3,"General","t",
"Ua-52468",5,3,"General","t",
"Ua-52469",5,3,"General","t",
"Ua-55114",5,3,"General","t",
"Ua-56212",5,3,"General","t",
"Ua-56213",5,3,"General","t",
"Ua-56214",5,3,"General","t",
"Ua-56215",5,3,"General","t",
"Ua-56216",5,2,"General","t",
"Ua-56218",5,2,"General","t",
"Ua-56219",5,3,"General","t",
"Ua-56220",5,3,"General","t",
"Ua-56221",5,3,"General","t",
"Ua-56222",5,3,"General","t",
"Ua-56223",5,3,"General","t",
"Ua-56224",5,3,"General","t",
"Ua-56225",5,6,"General","t",
"Ua-53765",5,6,"General","t",
"Ua-53761",5,3,"General","t",
"Ua-35045",5,3,"General","t",
"Ua-51522",5,3,"General","t",
"Ua-51523",5,3,"General","t",
"Ua-51524",5,3,"General","t",
"Ua-51525",5,2,"General","t",
"Ua-53760",5,3,"General","t",
"Ua-53762",5,3,"General","t",
"Ua-55113",5,3,"General","t",
"Ua-55116",5,2,"General","t",
"Ua-55117",5,5,"General","t",
"Ua-55118",5,3,"General","t",
"Ua-55115",5,3,"General","t",
"Beta-353396",5,3,"General","t",
"Ua-51526",5,3,"General","t",
"Ua-53759",5,3,"General","t",
"Ua-63184",5,3,"General","t",
"Ua-63186",5,5,"General","t",
"Ua-63188",5,4,"General","t",
"Ua-65842",30,84,"General","t",
