Laboratory_number;Radiocarbon age (years BP);Error;delta_C13;delta_N15;C:N;%C;%collagen;Calculation details;Laboratory treatment;Calibration used;Dated material;Context;Site;Country;Source;Group;Subgroup;Notes
SUERC-26372;3840;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Wijchen-Bijsterhuizen;The Netherlands;"Fokkens et al. 2016; Bourgeois et al. 2025";BB;NL;
GrA-41636;3875;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Wood (species and anatomy indet.);From wooden coffin in burial with BB artefacts;Hattemerbroek, Bedrijventerrein Hattemerbroek-Zuid;The Netherlands;"Hamburg et al. 2011, 125; Bourgeois et al. 2025";BB;NL;
GrA-39655;3830;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Wood (species and anatomy indet.);From wooden coffin in burial with BB artefacts;Hattemerbroek-Hanzelijn;The Netherlands;"Hamburg et al. 2011, 214; Bourgeois et al. 2025";BB;NL;
GrN-5131;3665;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From inhumation burial with BB artefacts;Molenaarsgraaf;The Netherlands;"Lanting and Van der Plicht 2002, 85; Patterson et al. 2022; Louwe Kooijmans 1974; Bourgeois et al. 2025";BB;NL;
GrA-28356;3765;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From burial with beaker;Beuningen-Hogewald;The Netherlands;"Lanting 2008, 53; Hamburg et al. 2011; Bourgeois et al. 2025";BB;NL;
GrN-6856;3835;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From wooden coffin in burial with BB artefacts;Mander;The Netherlands;"Lanting 2008, 66; 258; Bourgeois et al. 2025";BB;NL;
GrA-14066;3840;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Meerlo-Postbaan;The Netherlands;"Lanting and Van der Plicht 2000, 84-85; Drenth and Hogestein 2007; Hamburg et al. 2011; Bourgeois et al. 2025";BB;NL;
GrA-14840;3850;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Nijmegen-het Rooie Dorp, gem. Nijmegen;The Netherlands;"Lanting and Van der Plicht 2000, 85; Hamburg et al. 2011; Drenth and Hogestein 2007; Bourgeois et al. 2025";BB;NL;
GrA-14067;3830;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Hoog-Buurlo;The Netherlands;"Lanting and Van der Plicht 2000, 85; Lanting 2008, 53; Hamburg et al. 2011; Drenth and Hogestein 2007; Bourgeois et al. 2025";BB;NL;
GrN-6146;3725;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From inhumation burial with BB artefacts;Oudemolen;The Netherlands;"Lanting and Van der Plicht 2000, 92; Bourgeois et al. 2025";BB;NL;
GrA-13602;3880;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Rolde-Volmachtenlaan;The Netherlands;"Lanting and Van der Plicht 2000, 92; Hamburg et al. 2011; Drenth and Hogestein 2007; Bourgeois et al. 2025";BB;NL;
GrA-11264;3840;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Rolde-Volmachtenlaan;The Netherlands;"Lanting and Van der Plicht 2000, 92; Hamburg et al. 2011; Drenth and Hogestein 2007; Bourgeois et al. 2025";BB;NL;
GrA-13617;3910;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Dalen-Eldijk;The Netherlands;"Lanting and Van der Plicht 2000, 93; Hamburg et al. 2011; Drenth and Hogestein 2007; Bourgeois et al. 2025";BB;NL;
R-combine;3931;32;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial with BB artefacts;Emmen-Angelslo;The Netherlands;"Lanting and Van der Plicht 2000, 93; Hamburg et al. 2011; Drenth and Hogestein 2007; Bourgeois et al. 2025";BB;NL;
GrN-6340;3760;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From wooden coffin in burial with BB artefacts;Eext-Kerkweg;The Netherlands;"Lanting and Van der Plicht 2000, 93; Lanting 1973; Bourgeois et al. 2025";BB;NL;
GrN-6711;3735;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From wooden coffin in burial with BB artefacts;Laaghalerveld;The Netherlands;"Lanting and Van der Plicht 2000, 93; Lanting 1973; Bourgeois et al. 2025";BB;NL;
PSUAMS-7847;3700;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From inhumation burial with BB artefacts;Molenaarsgraaf;The Netherlands;"Patterson et al. 2022; Bourgeois et al. 2025";BB;NL;
GrA-12299;3920;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Attached to CW vessel found in situ;Zeewijk-Oost;The Netherlands;"Hogestijn 1997 in Lanting and Van der Plicht 2000 p. 79; cf. Beckerman 2015 p. 178";CW;NL;
GrN-6368;3935;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From charred coffin in a burial with CW ceramics (see also GrN-6638 in source, which is older);Eext - Galgwanderveen;The Netherlands;Jager 1985 cat nr 34 in Lanting and Van der Plicht 2000 p. 75;CW;NL;
GrA-41646;4075;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From grave with CW ceramics;Hattemerbroek;The Netherlands;"Knippenberg and Hamburg 2011b p. 125; Drenth and Meurkens 2011a pp. 250-1; 254; Hamburg et al. 2011 p. 486; Fokkens et al. 2016 p. 146";CW;NL;
GrN-6349;3945;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From a charred coffin in a burial with CW ceramics;Eext-Bergakkers;The Netherlands;Lanting and Van der Plicht 2000 p. 75;CW;NL;
GrN-6126;3970;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);Find no 946 from grave 5 with CW ceramics;Hijkerveld;The Netherlands;Lanting and Van der Plicht 2000 p. 75;CW;NL;
GrN-8247;4040;90;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From a spread (no. 459) in burial pit (Grave 1972-IV) with CW ceramics;Noorbarge-Hoge Loo;The Netherlands;Lanting and Van der Plicht 2000 p. 75;CW;NL;
GrN-6724;4210;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From lower infill of a burial pit (1972-III) with a battle axe;Noordbarge-Hoge Loo;The Netherlands;Lanting and Van der Plicht 2000 p. 75;CW;NL;
GrA-14965;4065;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, carbon fraction apatite, anatomy indet.);From cremation burial with CW ceramics;Baarn-De Drie Eiken;The Netherlands;Lanting and Van der Plicht 2000 p. 76;CW;NL;
GrN-11918;4165;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);Find ID 15, found in a burial pit together with CW ceramics. Lanting and Van der Plicht contest the reliability of this date.;Annen-Holtkampen;The Netherlands;Lanting and Van der Plicht 2000 p. 76;CW;NL;
GrN-7518;4170;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From charred wooden coffin inside a burial with AOO ceramics;Borken;The Netherlands;Lanting and Van der Plicht 2000 p. 80;CW;NL;
GrN-6129;4165;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From a burial with CW ceramics;Ede-Hotel Bosbeek;The Netherlands;Modderman 1954 pp. 41-4 in Lanting and Van der Plicht 2000 p. 75;CW;NL;
GrA-56014;4100;40;-26,04;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Attached to CW vessel (vessel 13);Zeewijk;The Netherlands;"Smit 2014 pp. 35-6; Fokkens et al. 2016 p. 80; cf. Beckerman 2014 pp. 55; 66";CW;NL;
